国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,丰台区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,1.7681874865010598
2025-04-10,01:00:00,2.1595965335686524
2025-04-10,02:00:00,1.8076985217427413
2025-04-10,03:00:00,1.290534129944526
2025-04-10,04:00:00,0.9979553618677541
2025-04-10,05:00:00,1.2154528428528701
2025-04-10,06:00:00,1.2957308784034884
2025-04-10,07:00:00,0.8905774181025543
2025-04-10,08:00:00,1.0107978952575962
2025-04-10,09:00:00,0.9038391719077543
2025-04-10,10:00:00,1.4316135121268523
2025-04-10,11:00:00,2.654885311285479
2025-04-10,12:00:00,3.7750418800908085
2025-04-10,13:00:00,4.146567960077577
2025-04-10,14:00:00,4.333538599765843
2025-04-10,15:00:00,4.613605685146137
2025-04-10,16:00:00,4.677885695261192
2025-04-10,17:00:00,3.1663784844727054
2025-04-10,18:00:00,2.9124519146413013
2025-04-10,19:00:00,3.061182352265463
2025-04-10,20:00:00,3.1536595466745836
2025-04-10,21:00:00,3.521229772421835
2025-04-10,22:00:00,3.5613645304805095
2025-04-10,23:00:00,3.627508496639964
2025-04-11,00:00:00,3.452860151852415
2025-04-11,01:00:00,3.2937504125972534
2025-04-11,02:00:00,2.801005543659297
2025-04-11,03:00:00,2.1672724335223457
2025-04-11,04:00:00,2.2688379400961525
2025-04-11,05:00:00,1.728077315497112
2025-04-11,06:00:00,1.5288414304095546
2025-04-11,07:00:00,1.2616704221953055
2025-04-11,08:00:00,1.2867753363866627
2025-04-11,09:00:00,1.269261994627252
2025-04-11,10:00:00,1.5820222606402248
2025-04-11,11:00:00,1.9355885246007225
2025-04-11,12:00:00,2.734707933383576
2025-04-11,13:00:00,3.832483862632738
2025-04-11,14:00:00,4.712835883687314
2025-04-11,15:00:00,4.298360326968585
2025-04-11,16:00:00,1.8358525132978951
2025-04-11,17:00:00,2.0930993492650587
2025-04-11,18:00:00,1.7328246578403785
2025-04-11,19:00:00,2.564192575344103
2025-04-11,20:00:00,2.4677633726215897
2025-04-11,21:00:00,4.210361791380726
2025-04-11,22:00:00,9.825738026781409
2025-04-11,23:00:00,8.379222081739686
2025-04-12,00:00:00,7.363073738251581
2025-04-12,01:00:00,7.038716613684965
2025-04-12,02:00:00,6.61960658209851
2025-04-12,03:00:00,6.3672899500628315
2025-04-12,04:00:00,6.506586676566437
2025-04-12,05:00:00,5.246735574496492
2025-04-12,06:00:00,5.345346745391164
2025-04-12,07:00:00,8.512105312093528
2025-04-12,08:00:00,9.649918751687947
2025-04-12,09:00:00,11.059888737450676
2025-04-12,10:00:00,11.320665091875627
2025-04-12,11:00:00,11.181603943849955
2025-04-12,12:00:00,11.393988122353742
2025-04-12,13:00:00,10.728431453847836
2025-04-12,14:00:00,10.314114898461035
2025-04-12,15:00:00,10.009021820388854
2025-04-12,16:00:00,9.400651561425024
2025-04-12,17:00:00,7.120220625884776
2025-04-12,18:00:00,6.001941792827102
2025-04-12,19:00:00,5.53330707927157
2025-04-12,20:00:00,4.989041586423954
2025-04-12,21:00:00,4.75846293054494
2025-04-12,22:00:00,4.442840824488901
2025-04-12,23:00:00,3.8314805500396494
2025-04-13,00:00:00,3.2710146031429073
2025-04-13,01:00:00,2.9158088709519383
2025-04-13,02:00:00,2.8688733399342508
2025-04-13,03:00:00,3.326128895026757
2025-04-13,04:00:00,3.686062550941199
2025-04-13,05:00:00,2.212353357662724
2025-04-13,06:00:00,3.648217898343517
2025-04-13,07:00:00,3.7188076099656486
2025-04-13,08:00:00,6.722213552826275
2025-04-13,09:00:00,8.240781268908266
2025-04-13,10:00:00,8.602265365431473
2025-04-13,11:00:00,9.120385198924225
2025-04-13,12:00:00,9.033553611417995
2025-04-13,13:00:00,9.237251553083482
2025-04-13,14:00:00,9.408890489859942
2025-04-13,15:00:00,9.083546168649749
2025-04-13,16:00:00,8.472723553001561
2025-04-13,17:00:00,6.636850919724389
2025-04-13,18:00:00,6.595421496565039
2025-04-13,19:00:00,7.112342956555925
2025-04-13,20:00:00,7.130181542440144
2025-04-13,21:00:00,6.9525143660450475
2025-04-13,22:00:00,6.9593385535438905
2025-04-13,23:00:00,7.207021517927717
2025-04-14,00:00:00,7.167501721906778
2025-04-14,01:00:00,7.235044230156633
2025-04-14,02:00:00,7.205708572083295
2025-04-14,03:00:00,7.276618519340706
2025-04-14,04:00:00,7.43660586716321
2025-04-14,05:00:00,6.875675998895416
2025-04-14,06:00:00,7.703767034922164
2025-04-14,07:00:00,7.498805692585239
2025-04-14,08:00:00,8.096093736661128
2025-04-14,09:00:00,7.828077820817928
2025-04-14,10:00:00,7.452662727559421
2025-04-14,11:00:00,7.304978773572464
2025-04-14,12:00:00,6.9781338368730905
2025-04-14,13:00:00,6.329740639941583
2025-04-14,14:00:00,5.704133681813363
2025-04-14,15:00:00,5.022960377016021
2025-04-14,16:00:00,3.9333456109201745
2025-04-14,17:00:00,1.928307093269072
2025-04-14,18:00:00,2.3387217260645548
2025-04-14,19:00:00,1.4017717268589243
2025-04-14,20:00:00,1.3127361383939744
2025-04-14,21:00:00,1.8982146297735971
2025-04-14,22:00:00,2.6827137096686235
2025-04-14,23:00:00,2.7891387814047546
