国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,大兴区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,1.858853426252395
2025-04-10,01:00:00,2.2366782135307757
2025-04-10,02:00:00,0.9533427794405249
2025-04-10,03:00:00,0.5096828052020723
2025-04-10,04:00:00,0.7871953332209471
2025-04-10,05:00:00,1.1945047634121124
2025-04-10,06:00:00,1.3390633024131444
2025-04-10,07:00:00,0.8900393321034971
2025-04-10,08:00:00,0.8803838941460933
2025-04-10,09:00:00,0.7061837110200361
2025-04-10,10:00:00,1.09791825278928
2025-04-10,11:00:00,2.4905983668221414
2025-04-10,12:00:00,3.793649441862386
2025-04-10,13:00:00,4.2289486990083915
2025-04-10,14:00:00,4.311784607625949
2025-04-10,15:00:00,4.575666352604395
2025-04-10,16:00:00,4.689840966879787
2025-04-10,17:00:00,3.2194781134744272
2025-04-10,18:00:00,2.855742640472856
2025-04-10,19:00:00,3.1958012097144834
2025-04-10,20:00:00,3.6323089524008916
2025-04-10,21:00:00,4.080142851759108
2025-04-10,22:00:00,4.1067308096680994
2025-04-10,23:00:00,4.114841392454435
2025-04-11,00:00:00,3.953520689650008
2025-04-11,01:00:00,3.7075153765362994
2025-04-11,02:00:00,3.2728170897570767
2025-04-11,03:00:00,2.5911533846123587
2025-04-11,04:00:00,2.5472019130057153
2025-04-11,05:00:00,2.3434113761995796
2025-04-11,06:00:00,2.7124278631561003
2025-04-11,07:00:00,2.4072133832332336
2025-04-11,08:00:00,2.2883445581577764
2025-04-11,09:00:00,1.8860106543145612
2025-04-11,10:00:00,1.9396487487123997
2025-04-11,11:00:00,1.899406260071764
2025-04-11,12:00:00,2.6278753779919994
2025-04-11,13:00:00,3.589035284570039
2025-04-11,14:00:00,4.575793976271702
2025-04-11,15:00:00,4.817383272810594
2025-04-11,16:00:00,2.7669280131623815
2025-04-11,17:00:00,2.38419688528718
2025-04-11,18:00:00,1.9665605575112728
2025-04-11,19:00:00,2.9097544444101047
2025-04-11,20:00:00,3.1363376368470948
2025-04-11,21:00:00,3.0883874940808993
2025-04-11,22:00:00,9.749308998044766
2025-04-11,23:00:00,9.364441456998616
2025-04-12,00:00:00,8.086622323913188
2025-04-12,01:00:00,7.734637206278028
2025-04-12,02:00:00,7.186086063954927
2025-04-12,03:00:00,6.951838963560988
2025-04-12,04:00:00,6.933376728531926
2025-04-12,05:00:00,5.714462314112376
2025-04-12,06:00:00,5.766201276865391
2025-04-12,07:00:00,9.019996766981233
2025-04-12,08:00:00,10.26681974039033
2025-04-12,09:00:00,11.319220869926411
2025-04-12,10:00:00,11.708077075633154
2025-04-12,11:00:00,11.769968994870567
2025-04-12,12:00:00,12.007907132775852
2025-04-12,13:00:00,11.50580106819115
2025-04-12,14:00:00,10.955252185757484
2025-04-12,15:00:00,10.775967618643756
2025-04-12,16:00:00,10.330841321771379
2025-04-12,17:00:00,8.339920205544102
2025-04-12,18:00:00,7.0490751175894495
2025-04-12,19:00:00,6.554478765167477
2025-04-12,20:00:00,6.006901216014491
2025-04-12,21:00:00,5.75529462492197
2025-04-12,22:00:00,5.407307811367108
2025-04-12,23:00:00,4.7056326485142055
2025-04-13,00:00:00,4.021335522211899
2025-04-13,01:00:00,3.706100211535937
2025-04-13,02:00:00,3.8306765796083355
2025-04-13,03:00:00,4.2217362436080395
2025-04-13,04:00:00,4.739608985560766
2025-04-13,05:00:00,2.99365236852438
2025-04-13,06:00:00,4.442638498584192
2025-04-13,07:00:00,5.428360230296711
2025-04-13,08:00:00,7.747405267416698
2025-04-13,09:00:00,9.044874587460376
2025-04-13,10:00:00,9.113536187452166
2025-04-13,11:00:00,9.955805198579451
2025-04-13,12:00:00,9.802939878106933
2025-04-13,13:00:00,10.048794338036837
2025-04-13,14:00:00,10.277143333135184
2025-04-13,15:00:00,9.991917733343623
2025-04-13,16:00:00,9.491492380948431
2025-04-13,17:00:00,7.440403102542034
2025-04-13,18:00:00,7.0410214730675404
2025-04-13,19:00:00,7.394006034997147
2025-04-13,20:00:00,7.228207565106899
2025-04-13,21:00:00,6.907510813653759
2025-04-13,22:00:00,6.90182600889788
2025-04-13,23:00:00,7.07719814690616
2025-04-14,00:00:00,6.997923889223476
2025-04-14,01:00:00,7.006825987442824
2025-04-14,02:00:00,6.965246924043406
2025-04-14,03:00:00,7.063747915822982
2025-04-14,04:00:00,7.262731071022697
2025-04-14,05:00:00,6.7201707111176905
2025-04-14,06:00:00,7.4679970464906695
2025-04-14,07:00:00,7.407322769692455
2025-04-14,08:00:00,8.129341296652422
2025-04-14,09:00:00,8.02081705545809
2025-04-14,10:00:00,7.775305306134742
2025-04-14,11:00:00,7.717741102239919
2025-04-14,12:00:00,7.513461063642414
2025-04-14,13:00:00,6.952503127181939
2025-04-14,14:00:00,6.327513748701786
2025-04-14,15:00:00,5.576736773947549
2025-04-14,16:00:00,4.5615858481430935
2025-04-14,17:00:00,2.22516671397226
2025-04-14,18:00:00,2.7696647073966747
2025-04-14,19:00:00,2.3454502276542617
2025-04-14,20:00:00,1.5305109502946357
2025-04-14,21:00:00,2.54143891013452
2025-04-14,22:00:00,2.945806677849167
2025-04-14,23:00:00,2.8306744821164016
