国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,密云区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,0.7056844272203951
2025-04-10,01:00:00,0.7689722440901
2025-04-10,02:00:00,0.854016042871711
2025-04-10,03:00:00,0.9541065809013075
2025-04-10,04:00:00,1.0403729756353135
2025-04-10,05:00:00,1.268709667729028
2025-04-10,06:00:00,1.0564219505087518
2025-04-10,07:00:00,0.186048873822097
2025-04-10,08:00:00,1.3229333611890242
2025-04-10,09:00:00,2.1066159275092273
2025-04-10,10:00:00,2.7146596080697774
2025-04-10,11:00:00,3.6609820585067854
2025-04-10,12:00:00,4.362408072491129
2025-04-10,13:00:00,4.673867253667047
2025-04-10,14:00:00,4.5391432095521855
2025-04-10,15:00:00,4.479261997451367
2025-04-10,16:00:00,3.981219099437762
2025-04-10,17:00:00,3.2110001274816415
2025-04-10,18:00:00,2.505089443388988
2025-04-10,19:00:00,2.6274552440538517
2025-04-10,20:00:00,2.528520684626827
2025-04-10,21:00:00,2.5145330595316673
2025-04-10,22:00:00,2.4518672923986764
2025-04-10,23:00:00,2.33029550077457
2025-04-11,00:00:00,2.2851887281641643
2025-04-11,01:00:00,2.21116397119033
2025-04-11,02:00:00,1.9424680099046372
2025-04-11,03:00:00,1.7150502388435223
2025-04-11,04:00:00,1.439142767650929
2025-04-11,05:00:00,1.6203430714179372
2025-04-11,06:00:00,1.3037339886439212
2025-04-11,07:00:00,1.4390662425605178
2025-04-11,08:00:00,2.8936782553569933
2025-04-11,09:00:00,3.1355838387546733
2025-04-11,10:00:00,3.3636836591507064
2025-04-11,11:00:00,3.951746799408951
2025-04-11,12:00:00,4.191251540937641
2025-04-11,13:00:00,4.31400409442431
2025-04-11,14:00:00,4.749529385396341
2025-04-11,15:00:00,4.426173410777109
2025-04-11,16:00:00,2.332756774742091
2025-04-11,17:00:00,1.100784237822033
2025-04-11,18:00:00,1.7872029882039204
2025-04-11,19:00:00,2.20346465409263
2025-04-11,20:00:00,1.990746154156771
2025-04-11,21:00:00,1.9333304458333371
2025-04-11,22:00:00,7.199665270052849
2025-04-11,23:00:00,5.518335188570825
2025-04-12,00:00:00,4.996997601528623
2025-04-12,01:00:00,4.905199972371473
2025-04-12,02:00:00,4.690460503533467
2025-04-12,03:00:00,5.0482354480996365
2025-04-12,04:00:00,5.4165159114156225
2025-04-12,05:00:00,4.53485494858766
2025-04-12,06:00:00,4.301638038921942
2025-04-12,07:00:00,6.701693656804468
2025-04-12,08:00:00,8.06740983333175
2025-04-12,09:00:00,8.92654885721069
2025-04-12,10:00:00,9.227941403145465
2025-04-12,11:00:00,10.092402619495665
2025-04-12,12:00:00,10.03238283492696
2025-04-12,13:00:00,9.142517896234654
2025-04-12,14:00:00,9.109810064308393
2025-04-12,15:00:00,8.789157126440735
2025-04-12,16:00:00,8.351472708642358
2025-04-12,17:00:00,6.2590417101785425
2025-04-12,18:00:00,5.072956251399658
2025-04-12,19:00:00,4.720802000364335
2025-04-12,20:00:00,4.920722704880169
2025-04-12,21:00:00,4.982715003345325
2025-04-12,22:00:00,4.5814734978546365
2025-04-12,23:00:00,4.092977759471803
2025-04-13,00:00:00,3.552769212111688
2025-04-13,01:00:00,3.000438754576945
2025-04-13,02:00:00,2.882082201443518
2025-04-13,03:00:00,3.2152108272223545
2025-04-13,04:00:00,3.7004685767198877
2025-04-13,05:00:00,2.1278342529095045
2025-04-13,06:00:00,3.4358604379871855
2025-04-13,07:00:00,4.22704187758086
2025-04-13,08:00:00,6.9427093413032415
2025-04-13,09:00:00,8.606131520753213
2025-04-13,10:00:00,9.351402632554734
2025-04-13,11:00:00,9.454726930089318
2025-04-13,12:00:00,9.228775305814453
2025-04-13,13:00:00,9.952213042112302
2025-04-13,14:00:00,8.728998985880306
2025-04-13,15:00:00,8.434966025107798
2025-04-13,16:00:00,8.221657232268273
2025-04-13,17:00:00,6.760775423711866
2025-04-13,18:00:00,6.473095309548718
2025-04-13,19:00:00,6.212315491688801
2025-04-13,20:00:00,6.099175581004746
2025-04-13,21:00:00,6.045586275379001
2025-04-13,22:00:00,6.053624920432003
2025-04-13,23:00:00,5.781936254498533
2025-04-14,00:00:00,5.558146278728143
2025-04-14,01:00:00,5.659155646443179
2025-04-14,02:00:00,5.574467966681017
2025-04-14,03:00:00,5.372598501026035
2025-04-14,04:00:00,5.1763043192001605
2025-04-14,05:00:00,4.62125083922515
2025-04-14,06:00:00,5.10429287754811
2025-04-14,07:00:00,4.676718957537643
2025-04-14,08:00:00,6.174933841736142
2025-04-14,09:00:00,6.4115780208001985
2025-04-14,10:00:00,6.467001549322653
2025-04-14,11:00:00,6.436654954648367
2025-04-14,12:00:00,6.257602555715092
2025-04-14,13:00:00,5.92821319132405
2025-04-14,14:00:00,5.5320551989024835
2025-04-14,15:00:00,4.972239133953572
2025-04-14,16:00:00,3.647960090927597
2025-04-14,17:00:00,1.7745257547358044
2025-04-14,18:00:00,0.9481784581021416
2025-04-14,19:00:00,0.8334435998832074
2025-04-14,20:00:00,0.6810007540156067
2025-04-14,21:00:00,1.3151827295334495
2025-04-14,22:00:00,1.5314113523879394
2025-04-14,23:00:00,1.7034334519586598
