国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,平谷区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,1.4346438847425824
2025-04-10,01:00:00,1.4259126680209904
2025-04-10,02:00:00,1.488664584023807
2025-04-10,03:00:00,1.425067192270305
2025-04-10,04:00:00,1.4258082215534942
2025-04-10,05:00:00,1.6372978396263649
2025-04-10,06:00:00,1.8206559914983278
2025-04-10,07:00:00,1.166639827974105
2025-04-10,08:00:00,1.1760711546800144
2025-04-10,09:00:00,1.5876417427126486
2025-04-10,10:00:00,2.227880282308334
2025-04-10,11:00:00,3.1396948854576325
2025-04-10,12:00:00,3.9824732733439707
2025-04-10,13:00:00,4.36340114680543
2025-04-10,14:00:00,4.260898655079123
2025-04-10,15:00:00,4.191410093500532
2025-04-10,16:00:00,3.9558019312946473
2025-04-10,17:00:00,2.9391721300540246
2025-04-10,18:00:00,2.468567223788496
2025-04-10,19:00:00,2.7649445754961706
2025-04-10,20:00:00,2.2411809370297986
2025-04-10,21:00:00,2.374788467331393
2025-04-10,22:00:00,2.323252427649751
2025-04-10,23:00:00,2.269036590899573
2025-04-11,00:00:00,2.2821445191586824
2025-04-11,01:00:00,2.2389160584514665
2025-04-11,02:00:00,2.0637966401784817
2025-04-11,03:00:00,2.0541885175675523
2025-04-11,04:00:00,2.2026141781096427
2025-04-11,05:00:00,2.4464294183652173
2025-04-11,06:00:00,2.551802277886082
2025-04-11,07:00:00,2.2342530755831187
2025-04-11,08:00:00,3.2192936165856954
2025-04-11,09:00:00,3.378181125851055
2025-04-11,10:00:00,3.500090931046803
2025-04-11,11:00:00,3.5388229238486604
2025-04-11,12:00:00,3.5669534703608488
2025-04-11,13:00:00,3.6689104850225087
2025-04-11,14:00:00,4.171460750543556
2025-04-11,15:00:00,4.307561738705347
2025-04-11,16:00:00,3.561027433758482
2025-04-11,17:00:00,1.4056066183632134
2025-04-11,18:00:00,1.8670531492889633
2025-04-11,19:00:00,2.605323750552634
2025-04-11,20:00:00,2.38819801337299
2025-04-11,21:00:00,1.7377871746389602
2025-04-11,22:00:00,6.138409832878024
2025-04-11,23:00:00,7.494851285896501
2025-04-12,00:00:00,5.884854895849035
2025-04-12,01:00:00,6.0396976306761285
2025-04-12,02:00:00,5.756024466458064
2025-04-12,03:00:00,5.707303151762971
2025-04-12,04:00:00,5.642430446655058
2025-04-12,05:00:00,5.0555314997395815
2025-04-12,06:00:00,4.6451180873512605
2025-04-12,07:00:00,7.331053403488557
2025-04-12,08:00:00,8.722181842805824
2025-04-12,09:00:00,9.559228559524433
2025-04-12,10:00:00,9.839274037293915
2025-04-12,11:00:00,10.520196205601245
2025-04-12,12:00:00,10.460462381522126
2025-04-12,13:00:00,10.212302829049259
2025-04-12,14:00:00,9.793741356836943
2025-04-12,15:00:00,9.579970816344206
2025-04-12,16:00:00,9.285412911018561
2025-04-12,17:00:00,7.481342020953138
2025-04-12,18:00:00,5.918635265517014
2025-04-12,19:00:00,5.499564624884625
2025-04-12,20:00:00,5.712379598035245
2025-04-12,21:00:00,5.86323181820428
2025-04-12,22:00:00,5.500215589759139
2025-04-12,23:00:00,5.013544641114374
2025-04-13,00:00:00,4.507691691656326
2025-04-13,01:00:00,3.997658202683385
2025-04-13,02:00:00,3.892684314812117
2025-04-13,03:00:00,4.331162053335735
2025-04-13,04:00:00,4.879979703693424
2025-04-13,05:00:00,4.040471817459406
2025-04-13,06:00:00,4.400541227998859
2025-04-13,07:00:00,5.613556888277944
2025-04-13,08:00:00,7.735300810464386
2025-04-13,09:00:00,9.109793915330222
2025-04-13,10:00:00,9.700030911426966
2025-04-13,11:00:00,9.784104191488876
2025-04-13,12:00:00,9.369734802362263
2025-04-13,13:00:00,10.319396983642097
2025-04-13,14:00:00,9.402575548557502
2025-04-13,15:00:00,9.130035174406244
2025-04-13,16:00:00,8.843910495853555
2025-04-13,17:00:00,7.3904928899239
2025-04-13,18:00:00,6.679130718724414
2025-04-13,19:00:00,6.27198993150097
2025-04-13,20:00:00,6.132108175479713
2025-04-13,21:00:00,5.980189264892307
2025-04-13,22:00:00,6.029083394937617
2025-04-13,23:00:00,5.9786758329451475
2025-04-14,00:00:00,5.8984241076867265
2025-04-14,01:00:00,5.922793959039731
2025-04-14,02:00:00,5.881125779102558
2025-04-14,03:00:00,5.673677790666168
2025-04-14,04:00:00,5.47906647479369
2025-04-14,05:00:00,4.833744488461032
2025-04-14,06:00:00,5.294704665604751
2025-04-14,07:00:00,5.069825040276599
2025-04-14,08:00:00,6.43554753832461
2025-04-14,09:00:00,6.878432958103546
2025-04-14,10:00:00,6.972744461744745
2025-04-14,11:00:00,6.9833895213390065
2025-04-14,12:00:00,6.7768001219830145
2025-04-14,13:00:00,6.379341729804924
2025-04-14,14:00:00,5.951362065554389
2025-04-14,15:00:00,5.381911247017351
2025-04-14,16:00:00,4.285886414625735
2025-04-14,17:00:00,1.8924908517801453
2025-04-14,18:00:00,1.0447718200764597
2025-04-14,19:00:00,0.5853921133040684
2025-04-14,20:00:00,0.5787838516963093
2025-04-14,21:00:00,1.2981404230928109
2025-04-14,22:00:00,1.4759901005419003
2025-04-14,23:00:00,1.171429314170522
