国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,延庆区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,2.0254582606480858
2025-04-10,01:00:00,2.1217424590515046
2025-04-10,02:00:00,2.200331915986618
2025-04-10,03:00:00,2.1840718379493613
2025-04-10,04:00:00,2.1215395521970506
2025-04-10,05:00:00,2.123477508489685
2025-04-10,06:00:00,2.2381350480097004
2025-04-10,07:00:00,1.6906068695562488
2025-04-10,08:00:00,1.4667017836004148
2025-04-10,09:00:00,2.202542942496449
2025-04-10,10:00:00,2.79047158602388
2025-04-10,11:00:00,3.3686018230672587
2025-04-10,12:00:00,3.707339828329128
2025-04-10,13:00:00,3.7507410068483704
2025-04-10,14:00:00,3.679729145556267
2025-04-10,15:00:00,3.7428235802225363
2025-04-10,16:00:00,3.4100751679052554
2025-04-10,17:00:00,2.872786634713942
2025-04-10,18:00:00,2.815215570988836
2025-04-10,19:00:00,2.5530730369647836
2025-04-10,20:00:00,2.7222905838643108
2025-04-10,21:00:00,2.524110038083993
2025-04-10,22:00:00,2.2663884229539097
2025-04-10,23:00:00,1.8617658699330613
2025-04-11,00:00:00,1.4340462777985536
2025-04-11,01:00:00,0.9229349543849007
2025-04-11,02:00:00,0.548595077762142
2025-04-11,03:00:00,0.18122107832699877
2025-04-11,04:00:00,0.34904656202047346
2025-04-11,05:00:00,0.6499197495181827
2025-04-11,06:00:00,0.7318524894276185
2025-04-11,07:00:00,0.29825328159429876
2025-04-11,08:00:00,1.1267311718803996
2025-04-11,09:00:00,1.7048914236855786
2025-04-11,10:00:00,2.5683571108195764
2025-04-11,11:00:00,3.33135709889725
2025-04-11,12:00:00,3.865844380284025
2025-04-11,13:00:00,4.191102614501337
2025-04-11,14:00:00,4.48996483818049
2025-04-11,15:00:00,3.107388500129743
2025-04-11,16:00:00,1.3969274018143545
2025-04-11,17:00:00,2.6336166198879196
2025-04-11,18:00:00,2.1158659950061125
2025-04-11,19:00:00,2.431582214089167
2025-04-11,20:00:00,3.6929534505564883
2025-04-11,21:00:00,6.756991624372569
2025-04-11,22:00:00,7.0934347428549955
2025-04-11,23:00:00,7.206699031588349
2025-04-12,00:00:00,6.786223873389677
2025-04-12,01:00:00,5.962718226252353
2025-04-12,02:00:00,6.275692574063333
2025-04-12,03:00:00,6.659222239169111
2025-04-12,04:00:00,7.04384821935557
2025-04-12,05:00:00,6.105628900278999
2025-04-12,06:00:00,6.433036330008534
2025-04-12,07:00:00,8.169520915033894
2025-04-12,08:00:00,9.352124903560275
2025-04-12,09:00:00,9.810799287001249
2025-04-12,10:00:00,10.14366532746585
2025-04-12,11:00:00,10.877234482912947
2025-04-12,12:00:00,10.918474668710019
2025-04-12,13:00:00,10.204553208410832
2025-04-12,14:00:00,10.152089605467713
2025-04-12,15:00:00,9.963191797437766
2025-04-12,16:00:00,9.546373383027428
2025-04-12,17:00:00,7.128951043634642
2025-04-12,18:00:00,6.5761448125834185
2025-04-12,19:00:00,6.384416474149056
2025-04-12,20:00:00,6.248349307993263
2025-04-12,21:00:00,6.0870422335369065
2025-04-12,22:00:00,5.894129635183286
2025-04-12,23:00:00,5.7475079558600015
2025-04-13,00:00:00,5.503524248646069
2025-04-13,01:00:00,5.18835818651505
2025-04-13,02:00:00,5.060012685755866
2025-04-13,03:00:00,5.255700869023847
2025-04-13,04:00:00,5.600347657176946
2025-04-13,05:00:00,3.9548598935785892
2025-04-13,06:00:00,4.982648797069999
2025-04-13,07:00:00,6.74879032554612
2025-04-13,08:00:00,8.293712435211972
2025-04-13,09:00:00,8.885331223190747
2025-04-13,10:00:00,9.406355319778324
2025-04-13,11:00:00,9.63068058051032
2025-04-13,12:00:00,9.429510694597996
2025-04-13,13:00:00,9.494970801866318
2025-04-13,14:00:00,8.775486556785967
2025-04-13,15:00:00,8.439709183659039
2025-04-13,16:00:00,8.221396593358508
2025-04-13,17:00:00,6.629204610642148
2025-04-13,18:00:00,7.256210279940496
2025-04-13,19:00:00,7.074514104512343
2025-04-13,20:00:00,6.986431431577236
2025-04-13,21:00:00,7.149248895748954
2025-04-13,22:00:00,7.252107949359576
2025-04-13,23:00:00,6.91557946013031
2025-04-14,00:00:00,6.616084273725697
2025-04-14,01:00:00,6.5062260580169795
2025-04-14,02:00:00,6.353678232911759
2025-04-14,03:00:00,6.207769368374145
2025-04-14,04:00:00,6.040656412351149
2025-04-14,05:00:00,5.728433623030943
2025-04-14,06:00:00,6.146431599905185
2025-04-14,07:00:00,6.106331931484567
2025-04-14,08:00:00,6.841068908915121
2025-04-14,09:00:00,6.747180876709264
2025-04-14,10:00:00,6.724303841286844
2025-04-14,11:00:00,6.5074251778576455
2025-04-14,12:00:00,6.175343148635345
2025-04-14,13:00:00,5.853972192408277
2025-04-14,14:00:00,5.45253864681362
2025-04-14,15:00:00,4.981924729111984
2025-04-14,16:00:00,4.011916734549332
2025-04-14,17:00:00,1.924342766696482
2025-04-14,18:00:00,2.0854033967345056
2025-04-14,19:00:00,2.051008661274306
2025-04-14,20:00:00,2.21066288390952
2025-04-14,21:00:00,2.597666403236039
2025-04-14,22:00:00,2.7606284477433216
2025-04-14,23:00:00,2.8655252521900376
