国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,怀柔区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,1.2905887523149966
2025-04-10,01:00:00,1.4979322336249212
2025-04-10,02:00:00,1.701866373564864
2025-04-10,03:00:00,1.8353319599017281
2025-04-10,04:00:00,1.7433565181025505
2025-04-10,05:00:00,1.6533322326573479
2025-04-10,06:00:00,1.564679134352487
2025-04-10,07:00:00,0.8783708581584199
2025-04-10,08:00:00,1.1270018902971513
2025-04-10,09:00:00,2.2049468333256756
2025-04-10,10:00:00,3.009396342381569
2025-04-10,11:00:00,3.960788487600194
2025-04-10,12:00:00,4.614763519579534
2025-04-10,13:00:00,4.861280607722052
2025-04-10,14:00:00,4.777898470508559
2025-04-10,15:00:00,4.81437356683782
2025-04-10,16:00:00,4.242968321788145
2025-04-10,17:00:00,3.673303978415686
2025-04-10,18:00:00,2.851781276534019
2025-04-10,19:00:00,2.36043926675904
2025-04-10,20:00:00,2.567964369774733
2025-04-10,21:00:00,2.6837440664125167
2025-04-10,22:00:00,2.731706818371461
2025-04-10,23:00:00,2.590304906303115
2025-04-11,00:00:00,2.3957591587841427
2025-04-11,01:00:00,2.1479244976860836
2025-04-11,02:00:00,1.8147625798896896
2025-04-11,03:00:00,1.3819114538643562
2025-04-11,04:00:00,0.8949442196994157
2025-04-11,05:00:00,0.3971205640528475
2025-04-11,06:00:00,0.5886051936410089
2025-04-11,07:00:00,1.1620235023705305
2025-04-11,08:00:00,2.4409793387890026
2025-04-11,09:00:00,2.930132107136518
2025-04-11,10:00:00,3.2988299813128736
2025-04-11,11:00:00,4.225294369635678
2025-04-11,12:00:00,4.581957350567423
2025-04-11,13:00:00,4.7898190709153345
2025-04-11,14:00:00,5.057892455687838
2025-04-11,15:00:00,3.578070722100262
2025-04-11,16:00:00,0.6363097465511581
2025-04-11,17:00:00,2.051004382358336
2025-04-11,18:00:00,1.7017623075304458
2025-04-11,19:00:00,1.086890730495624
2025-04-11,20:00:00,1.4606263469045924
2025-04-11,21:00:00,3.8940945087110936
2025-04-11,22:00:00,6.50434911023899
2025-04-11,23:00:00,5.168930354350213
2025-04-12,00:00:00,5.041884255964209
2025-04-12,01:00:00,4.731748054096082
2025-04-12,02:00:00,4.747459412608398
2025-04-12,03:00:00,5.259386203313484
2025-04-12,04:00:00,5.92368187422435
2025-04-12,05:00:00,4.571530458135226
2025-04-12,06:00:00,4.85159650214852
2025-04-12,07:00:00,6.887537751277719
2025-04-12,08:00:00,8.033555668856817
2025-04-12,09:00:00,8.77067993125974
2025-04-12,10:00:00,9.450124667249801
2025-04-12,11:00:00,10.154357809696798
2025-04-12,12:00:00,10.284380660444686
2025-04-12,13:00:00,9.113258197724317
2025-04-12,14:00:00,9.035256954221884
2025-04-12,15:00:00,8.838654521325468
2025-04-12,16:00:00,8.547262559648711
2025-04-12,17:00:00,5.457883423453094
2025-04-12,18:00:00,5.340879385244628
2025-04-12,19:00:00,5.039304985301566
2025-04-12,20:00:00,5.284031649747559
2025-04-12,21:00:00,5.129263917798115
2025-04-12,22:00:00,4.740413789708476
2025-04-12,23:00:00,4.354065038872576
2025-04-13,00:00:00,4.108176084979631
2025-04-13,01:00:00,3.763539487210493
2025-04-13,02:00:00,3.624985539441816
2025-04-13,03:00:00,3.97017369687837
2025-04-13,04:00:00,4.446835803568302
2025-04-13,05:00:00,2.691886245367312
2025-04-13,06:00:00,4.221536289192936
2025-04-13,07:00:00,5.504568994825673
2025-04-13,08:00:00,7.640129951891768
2025-04-13,09:00:00,8.727996116295344
2025-04-13,10:00:00,9.454875384040694
2025-04-13,11:00:00,9.348502196105192
2025-04-13,12:00:00,9.505180039645671
2025-04-13,13:00:00,9.220331020456637
2025-04-13,14:00:00,8.259598617151294
2025-04-13,15:00:00,8.060615246965032
2025-04-13,16:00:00,8.155364016835533
2025-04-13,17:00:00,6.4794588084688804
2025-04-13,18:00:00,6.471836228955255
2025-04-13,19:00:00,6.501991649883028
2025-04-13,20:00:00,6.478294520034494
2025-04-13,21:00:00,6.506755642479588
2025-04-13,22:00:00,6.635469429552685
2025-04-13,23:00:00,6.256567254213214
2025-04-14,00:00:00,5.9406627538172225
2025-04-14,01:00:00,6.074757963033354
2025-04-14,02:00:00,6.055551801279744
2025-04-14,03:00:00,5.937773703697252
2025-04-14,04:00:00,5.797039794088983
2025-04-14,05:00:00,5.260799976948586
2025-04-14,06:00:00,5.618925892250059
2025-04-14,07:00:00,5.211389956537121
2025-04-14,08:00:00,6.4431873759877645
2025-04-14,09:00:00,6.452687006907617
2025-04-14,10:00:00,6.493281850182496
2025-04-14,11:00:00,6.39022424833717
2025-04-14,12:00:00,6.116237535948678
2025-04-14,13:00:00,5.823020958399548
2025-04-14,14:00:00,5.398857888978452
2025-04-14,15:00:00,4.800504688122909
2025-04-14,16:00:00,3.469039775978769
2025-04-14,17:00:00,1.6819051710334547
2025-04-14,18:00:00,1.4728386541768306
2025-04-14,19:00:00,1.7550430103333545
2025-04-14,20:00:00,1.7718535713043773
2025-04-14,21:00:00,2.2975495006941458
2025-04-14,22:00:00,2.4909155648593218
2025-04-14,23:00:00,2.6050813597841405
