国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,房山区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,1.723624658235305
2025-04-10,01:00:00,1.882711669196961
2025-04-10,02:00:00,1.91074438008628
2025-04-10,03:00:00,1.7944844662149322
2025-04-10,04:00:00,1.6151547892577436
2025-04-10,05:00:00,1.6037221371303962
2025-04-10,06:00:00,1.8145261611895613
2025-04-10,07:00:00,1.177042781510993
2025-04-10,08:00:00,0.4074455711625202
2025-04-10,09:00:00,0.786420118735673
2025-04-10,10:00:00,1.7915436039185357
2025-04-10,11:00:00,2.71719816026859
2025-04-10,12:00:00,3.4353022712424557
2025-04-10,13:00:00,3.7718433614462383
2025-04-10,14:00:00,4.0869202976326315
2025-04-10,15:00:00,4.32563571399728
2025-04-10,16:00:00,4.311400851570687
2025-04-10,17:00:00,2.903954180126266
2025-04-10,18:00:00,2.8366506968707834
2025-04-10,19:00:00,2.740262739237501
2025-04-10,20:00:00,2.605235552095619
2025-04-10,21:00:00,2.8279576315030415
2025-04-10,22:00:00,2.990237172798194
2025-04-10,23:00:00,3.1167430183485805
2025-04-11,00:00:00,3.0119872536622614
2025-04-11,01:00:00,2.867649205646056
2025-04-11,02:00:00,2.2335515966126938
2025-04-11,03:00:00,1.679561619762822
2025-04-11,04:00:00,1.5825837577302158
2025-04-11,05:00:00,1.417376011430715
2025-04-11,06:00:00,0.7090913472222399
2025-04-11,07:00:00,0.3711494647842092
2025-04-11,08:00:00,0.47907911576296264
2025-04-11,09:00:00,1.201375811626947
2025-04-11,10:00:00,1.5925219724720654
2025-04-11,11:00:00,1.984839634288444
2025-04-11,12:00:00,2.9716145437800963
2025-04-11,13:00:00,3.909363345606372
2025-04-11,14:00:00,4.326574727473281
2025-04-11,15:00:00,3.754185978990697
2025-04-11,16:00:00,2.3757735157653026
2025-04-11,17:00:00,2.3650366368332283
2025-04-11,18:00:00,2.5352540995230504
2025-04-11,19:00:00,3.0515018018171878
2025-04-11,20:00:00,3.744328596534787
2025-04-11,21:00:00,6.419168678091042
2025-04-11,22:00:00,8.615618927803332
2025-04-11,23:00:00,7.8306470754058015
2025-04-12,00:00:00,7.101588026569917
2025-04-12,01:00:00,6.615026025457705
2025-04-12,02:00:00,6.12909936782281
2025-04-12,03:00:00,6.431231473395855
2025-04-12,04:00:00,6.5887495997611065
2025-04-12,05:00:00,5.877816890575738
2025-04-12,06:00:00,5.870182683013445
2025-04-12,07:00:00,8.23674598588505
2025-04-12,08:00:00,9.287715033818628
2025-04-12,09:00:00,10.176422879008955
2025-04-12,10:00:00,10.538593793989193
2025-04-12,11:00:00,10.467989434122188
2025-04-12,12:00:00,10.438321011674644
2025-04-12,13:00:00,9.944986907118002
2025-04-12,14:00:00,9.471642087545483
2025-04-12,15:00:00,9.053468881370952
2025-04-12,16:00:00,8.321277354426035
2025-04-12,17:00:00,6.179202876415085
2025-04-12,18:00:00,5.296791686453159
2025-04-12,19:00:00,5.12349282893609
2025-04-12,20:00:00,4.917792820967879
2025-04-12,21:00:00,4.820820372496059
2025-04-12,22:00:00,4.611626765098924
2025-04-12,23:00:00,4.3525581486635785
2025-04-13,00:00:00,4.15552520515795
2025-04-13,01:00:00,3.9465646118378683
2025-04-13,02:00:00,3.729699411187401
2025-04-13,03:00:00,3.7855475246061894
2025-04-13,04:00:00,3.7846241744125413
2025-04-13,05:00:00,2.086790949185404
2025-04-13,06:00:00,2.851991304799024
2025-04-13,07:00:00,2.7850899940990637
2025-04-13,08:00:00,6.675497540667148
2025-04-13,09:00:00,7.7808477564983205
2025-04-13,10:00:00,8.360205553123212
2025-04-13,11:00:00,8.640618190909652
2025-04-13,12:00:00,8.607894854432343
2025-04-13,13:00:00,8.59519725802385
2025-04-13,14:00:00,8.577135491797183
2025-04-13,15:00:00,8.015518491759998
2025-04-13,16:00:00,7.3381480511434285
2025-04-13,17:00:00,5.902925782395328
2025-04-13,18:00:00,6.522573807563484
2025-04-13,19:00:00,7.130818528720202
2025-04-13,20:00:00,7.327610809504304
2025-04-13,21:00:00,7.409842320214406
2025-04-13,22:00:00,7.531777948846353
2025-04-13,23:00:00,7.758644344747281
2025-04-14,00:00:00,7.700583838997581
2025-04-14,01:00:00,7.639914286429317
2025-04-14,02:00:00,7.489039090011268
2025-04-14,03:00:00,7.287538010480798
2025-04-14,04:00:00,7.252785941231619
2025-04-14,05:00:00,6.9262308237901875
2025-04-14,06:00:00,7.598945046233703
2025-04-14,07:00:00,7.377509954292811
2025-04-14,08:00:00,7.845378503383752
2025-04-14,09:00:00,7.5987012555066515
2025-04-14,10:00:00,7.284555052311116
2025-04-14,11:00:00,7.06425072586652
2025-04-14,12:00:00,6.630496338043265
2025-04-14,13:00:00,5.963268969473938
2025-04-14,14:00:00,5.435385939324067
2025-04-14,15:00:00,4.836157803483706
2025-04-14,16:00:00,3.652890068045216
2025-04-14,17:00:00,1.5143284521572165
2025-04-14,18:00:00,1.0501112142826228
2025-04-14,19:00:00,0.9353853806075179
2025-04-14,20:00:00,1.3399634336575323
2025-04-14,21:00:00,1.2897844102333083
2025-04-14,22:00:00,1.9725957449714873
2025-04-14,23:00:00,2.3958942036269124
