国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,朝阳区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,0.29902859931375153
2025-04-10,01:00:00,0.7182590108194132
2025-04-10,02:00:00,1.1942644117686716
2025-04-10,03:00:00,1.371646455640457
2025-04-10,04:00:00,1.2691873979616473
2025-04-10,05:00:00,1.6354471814435634
2025-04-10,06:00:00,0.8836903016529906
2025-04-10,07:00:00,0.384854106323866
2025-04-10,08:00:00,0.5336040753813519
2025-04-10,09:00:00,0.6205286233139293
2025-04-10,10:00:00,1.2414743084140765
2025-04-10,11:00:00,2.481040775472409
2025-04-10,12:00:00,3.4570641330358227
2025-04-10,13:00:00,3.936369104758816
2025-04-10,14:00:00,4.01380065331839
2025-04-10,15:00:00,4.212970682357268
2025-04-10,16:00:00,4.113444173714124
2025-04-10,17:00:00,3.23246393669822
2025-04-10,18:00:00,3.0314107121175358
2025-04-10,19:00:00,2.8674113080202885
2025-04-10,20:00:00,2.9497570714260934
2025-04-10,21:00:00,3.1818856589320625
2025-04-10,22:00:00,3.135481570597593
2025-04-10,23:00:00,2.8141507955408183
2025-04-11,00:00:00,2.7761082406819146
2025-04-11,01:00:00,2.368253635017948
2025-04-11,02:00:00,1.8780672127160163
2025-04-11,03:00:00,1.5911219481341432
2025-04-11,04:00:00,2.4319489567219095
2025-04-11,05:00:00,1.942732980828939
2025-04-11,06:00:00,1.4554244597605366
2025-04-11,07:00:00,1.4950767205490365
2025-04-11,08:00:00,1.717673529414602
2025-04-11,09:00:00,1.6548516563632594
2025-04-11,10:00:00,1.8545898974612676
2025-04-11,11:00:00,2.0725360509295943
2025-04-11,12:00:00,2.450530736252036
2025-04-11,13:00:00,3.1942053603829406
2025-04-11,14:00:00,4.108215610451048
2025-04-11,15:00:00,4.509288225547428
2025-04-11,16:00:00,2.027405367913797
2025-04-11,17:00:00,1.574881499676838
2025-04-11,18:00:00,1.762045672522023
2025-04-11,19:00:00,3.2309954450636984
2025-04-11,20:00:00,2.8676611506222676
2025-04-11,21:00:00,3.8543918612405283
2025-04-11,22:00:00,10.978228698767067
2025-04-11,23:00:00,8.340486839182715
2025-04-12,00:00:00,7.861130548316346
2025-04-12,01:00:00,6.796471815039163
2025-04-12,02:00:00,7.172710507832394
2025-04-12,03:00:00,6.853845400736898
2025-04-12,04:00:00,6.893994594974996
2025-04-12,05:00:00,5.60463155149213
2025-04-12,06:00:00,5.646390298331467
2025-04-12,07:00:00,8.659680805962758
2025-04-12,08:00:00,9.935800310166394
2025-04-12,09:00:00,10.728418425828437
2025-04-12,10:00:00,11.3252486341703
2025-04-12,11:00:00,11.519159277112852
2025-04-12,12:00:00,11.668472918826174
2025-04-12,13:00:00,11.20088077979797
2025-04-12,14:00:00,10.71693102011101
2025-04-12,15:00:00,10.46782511654311
2025-04-12,16:00:00,9.951254276371863
2025-04-12,17:00:00,8.006849962589424
2025-04-12,18:00:00,6.574572764672024
2025-04-12,19:00:00,6.14590002053257
2025-04-12,20:00:00,5.683298994410298
2025-04-12,21:00:00,5.397839069871478
2025-04-12,22:00:00,5.013726386507649
2025-04-12,23:00:00,4.44929559114758
2025-04-13,00:00:00,3.9170632786983433
2025-04-13,01:00:00,3.745546311453005
2025-04-13,02:00:00,3.9618241180742553
2025-04-13,03:00:00,4.481909915951708
2025-04-13,04:00:00,4.975062873239962
2025-04-13,05:00:00,3.4085432020798536
2025-04-13,06:00:00,5.00105880770878
2025-04-13,07:00:00,5.841123535987004
2025-04-13,08:00:00,7.750559768695836
2025-04-13,09:00:00,8.268263976706866
2025-04-13,10:00:00,8.442851647912255
2025-04-13,11:00:00,9.515762640453922
2025-04-13,12:00:00,9.21981179582056
2025-04-13,13:00:00,10.097802685018328
2025-04-13,14:00:00,9.754631939710347
2025-04-13,15:00:00,9.34361249057534
2025-04-13,16:00:00,8.773899883006134
2025-04-13,17:00:00,7.034687431153996
2025-04-13,18:00:00,6.734519564603128
2025-04-13,19:00:00,6.8138577149661925
2025-04-13,20:00:00,6.502177038647099
2025-04-13,21:00:00,6.20428813622477
2025-04-13,22:00:00,6.291287605870726
2025-04-13,23:00:00,6.387768758225683
2025-04-14,00:00:00,6.19752621746781
2025-04-14,01:00:00,6.198669701622897
2025-04-14,02:00:00,6.225343292064613
2025-04-14,03:00:00,6.378808057149577
2025-04-14,04:00:00,6.543809469325633
2025-04-14,05:00:00,6.025876497720207
2025-04-14,06:00:00,6.8414765264923
2025-04-14,07:00:00,6.464471311702126
2025-04-14,08:00:00,7.364093279055246
2025-04-14,09:00:00,7.301085333611428
2025-04-14,10:00:00,7.1266999123079025
2025-04-14,11:00:00,7.103531411004292
2025-04-14,12:00:00,6.838427972144236
2025-04-14,13:00:00,6.276546871012116
2025-04-14,14:00:00,5.634911955358213
2025-04-14,15:00:00,4.93441947800438
2025-04-14,16:00:00,3.806459055461482
2025-04-14,17:00:00,2.0451755769549265
2025-04-14,18:00:00,2.3274199310325177
2025-04-14,19:00:00,1.1060666851995575
2025-04-14,20:00:00,1.9927385801100215
2025-04-14,21:00:00,2.372898619780269
2025-04-14,22:00:00,2.916569258138564
2025-04-14,23:00:00,2.8541988362796267
