国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,石景山区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,1.496780896413493
2025-04-10,01:00:00,1.6739246548793665
2025-04-10,02:00:00,1.8094376542799653
2025-04-10,03:00:00,1.795130325928265
2025-04-10,04:00:00,1.5491713423459665
2025-04-10,05:00:00,1.4083969206829159
2025-04-10,06:00:00,1.6026147649916154
2025-04-10,07:00:00,0.7473214167606999
2025-04-10,08:00:00,0.39312954689467616
2025-04-10,09:00:00,0.618107249579848
2025-04-10,10:00:00,1.4780480274057652
2025-04-10,11:00:00,2.7747304496796885
2025-04-10,12:00:00,3.5198541048411367
2025-04-10,13:00:00,3.8556081398363684
2025-04-10,14:00:00,3.9954409296555196
2025-04-10,15:00:00,4.249691923092016
2025-04-10,16:00:00,4.229051813376776
2025-04-10,17:00:00,3.315885208699046
2025-04-10,18:00:00,2.7585160557145048
2025-04-10,19:00:00,2.6755026782534053
2025-04-10,20:00:00,2.9076980449761987
2025-04-10,21:00:00,3.079413614780247
2025-04-10,22:00:00,3.3755392321087774
2025-04-10,23:00:00,3.066166518013477
2025-04-11,00:00:00,2.8916751834775507
2025-04-11,01:00:00,2.3199482361403105
2025-04-11,02:00:00,1.4702297554413049
2025-04-11,03:00:00,0.9827497899050001
2025-04-11,04:00:00,1.5804113109605817
2025-04-11,05:00:00,0.5630146479959363
2025-04-11,06:00:00,0.3846027733511416
2025-04-11,07:00:00,0.7009398642127701
2025-04-11,08:00:00,0.9407772711151184
2025-04-11,09:00:00,1.0164071008742395
2025-04-11,10:00:00,1.613270034903751
2025-04-11,11:00:00,2.1638951545074954
2025-04-11,12:00:00,2.614949920992079
2025-04-11,13:00:00,3.472566551630722
2025-04-11,14:00:00,4.158669949842046
2025-04-11,15:00:00,3.8361229127820744
2025-04-11,16:00:00,1.4629030299736496
2025-04-11,17:00:00,1.4726114733025035
2025-04-11,18:00:00,1.9326912074708518
2025-04-11,19:00:00,2.6314439210915763
2025-04-11,20:00:00,2.2800877886221564
2025-04-11,21:00:00,6.211884282325851
2025-04-11,22:00:00,10.160531661048568
2025-04-11,23:00:00,8.002056109404002
2025-04-12,00:00:00,7.757381738400132
2025-04-12,01:00:00,6.968051705689595
2025-04-12,02:00:00,7.045249256772393
2025-04-12,03:00:00,6.860683706455723
2025-04-12,04:00:00,7.133214141053545
2025-04-12,05:00:00,5.866457445507116
2025-04-12,06:00:00,5.6880297503998545
2025-04-12,07:00:00,8.544365711863238
2025-04-12,08:00:00,9.646206554904616
2025-04-12,09:00:00,10.57959341616556
2025-04-12,10:00:00,10.954594878671012
2025-04-12,11:00:00,10.878230693503818
2025-04-12,12:00:00,11.254600008860457
2025-04-12,13:00:00,10.702622517791792
2025-04-12,14:00:00,10.415563096583437
2025-04-12,15:00:00,9.950200916792733
2025-04-12,16:00:00,9.119784004516942
2025-04-12,17:00:00,7.250899696969449
2025-04-12,18:00:00,6.080603293089355
2025-04-12,19:00:00,5.759693534726774
2025-04-12,20:00:00,5.32882260490018
2025-04-12,21:00:00,5.059183116603442
2025-04-12,22:00:00,4.797143948877486
2025-04-12,23:00:00,4.467980895618142
2025-04-13,00:00:00,4.19618127839277
2025-04-13,01:00:00,4.129926182702992
2025-04-13,02:00:00,4.203411051247086
2025-04-13,03:00:00,4.552800509159212
2025-04-13,04:00:00,4.79992785300201
2025-04-13,05:00:00,2.6606656178225943
2025-04-13,06:00:00,4.388154459668008
2025-04-13,07:00:00,4.932446480916958
2025-04-13,08:00:00,7.524695060048466
2025-04-13,09:00:00,8.063610292950711
2025-04-13,10:00:00,8.299527705924298
2025-04-13,11:00:00,8.741226820690649
2025-04-13,12:00:00,8.649085842678783
2025-04-13,13:00:00,9.215897494166127
2025-04-13,14:00:00,9.062434059948437
2025-04-13,15:00:00,8.557386358587136
2025-04-13,16:00:00,8.017128095371518
2025-04-13,17:00:00,6.34974514867793
2025-04-13,18:00:00,6.6601123785997665
2025-04-13,19:00:00,6.992713814433492
2025-04-13,20:00:00,6.932345855869713
2025-04-13,21:00:00,6.776304279399698
2025-04-13,22:00:00,6.980552031704897
2025-04-13,23:00:00,7.166114196787703
2025-04-14,00:00:00,7.0719043427376125
2025-04-14,01:00:00,7.136284355255081
2025-04-14,02:00:00,7.160092263986175
2025-04-14,03:00:00,7.319264615581737
2025-04-14,04:00:00,7.396171922103949
2025-04-14,05:00:00,6.930945175595993
2025-04-14,06:00:00,7.635750312556404
2025-04-14,07:00:00,7.435548044525133
2025-04-14,08:00:00,7.983743581594404
2025-04-14,09:00:00,7.672260904275746
2025-04-14,10:00:00,7.3401225120400175
2025-04-14,11:00:00,7.108333874393113
2025-04-14,12:00:00,6.658956578052795
2025-04-14,13:00:00,6.044312900760746
2025-04-14,14:00:00,5.437851808509361
2025-04-14,15:00:00,4.69288036044697
2025-04-14,16:00:00,3.550400758663927
2025-04-14,17:00:00,1.6594138084493444
2025-04-14,18:00:00,1.1011798573544258
2025-04-14,19:00:00,0.3350851929857597
2025-04-14,20:00:00,1.8466720701491868
2025-04-14,21:00:00,2.2959782956525996
2025-04-14,22:00:00,2.7610603985152284
2025-04-14,23:00:00,3.0417143923138936
