国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,通州区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,1.153903359217943
2025-04-10,01:00:00,1.124396693552182
2025-04-10,02:00:00,0.8280249259648076
2025-04-10,03:00:00,1.0681731297526034
2025-04-10,04:00:00,1.3460160239074952
2025-04-10,05:00:00,1.5574647891846571
2025-04-10,06:00:00,1.4762152930251775
2025-04-10,07:00:00,0.8671671620960082
2025-04-10,08:00:00,0.6626405732867868
2025-04-10,09:00:00,0.5369331107466224
2025-04-10,10:00:00,1.09171997766711
2025-04-10,11:00:00,2.348481153690838
2025-04-10,12:00:00,3.5408221406555795
2025-04-10,13:00:00,4.034857746777936
2025-04-10,14:00:00,4.048212356201935
2025-04-10,15:00:00,4.206238417055257
2025-04-10,16:00:00,4.174870046016729
2025-04-10,17:00:00,2.9317616763044563
2025-04-10,18:00:00,2.9539992622828053
2025-04-10,19:00:00,3.1612909329897874
2025-04-10,20:00:00,3.2761772985068096
2025-04-10,21:00:00,3.512270062388929
2025-04-10,22:00:00,3.4548857084560383
2025-04-10,23:00:00,3.2721622324513966
2025-04-11,00:00:00,3.1848656268545614
2025-04-11,01:00:00,2.879611903777222
2025-04-11,02:00:00,2.5786619260790418
2025-04-11,03:00:00,2.1349887640989755
2025-04-11,04:00:00,2.5626521781355964
2025-04-11,05:00:00,2.8337189005106045
2025-04-11,06:00:00,3.102926374416558
2025-04-11,07:00:00,2.9170200742549124
2025-04-11,08:00:00,2.9216779444644416
2025-04-11,09:00:00,2.4963468995719937
2025-04-11,10:00:00,2.422830768638326
2025-04-11,11:00:00,2.1501513830553196
2025-04-11,12:00:00,2.5343241257506013
2025-04-11,13:00:00,3.11864540316793
2025-04-11,14:00:00,3.9697796818998135
2025-04-11,15:00:00,4.713165549466974
2025-04-11,16:00:00,3.454847131499555
2025-04-11,17:00:00,2.3768621840460034
2025-04-11,18:00:00,2.183658042484096
2025-04-11,19:00:00,3.1657480806141214
2025-04-11,20:00:00,3.6778573725227393
2025-04-11,21:00:00,2.7060929592802023
2025-04-11,22:00:00,9.256842607086815
2025-04-11,23:00:00,9.674897871704442
2025-04-12,00:00:00,8.198389025366998
2025-04-12,01:00:00,7.677942727741308
2025-04-12,02:00:00,7.406681088616727
2025-04-12,03:00:00,7.248508087448805
2025-04-12,04:00:00,7.052228581147397
2025-04-12,05:00:00,5.903075136403362
2025-04-12,06:00:00,5.806059321087766
2025-04-12,07:00:00,8.820963992199403
2025-04-12,08:00:00,10.18963197441528
2025-04-12,09:00:00,10.764461114360236
2025-04-12,10:00:00,11.423939999271813
2025-04-12,11:00:00,11.819639360215366
2025-04-12,12:00:00,11.989317427213845
2025-04-12,13:00:00,11.73436362833759
2025-04-12,14:00:00,11.002757491409167
2025-04-12,15:00:00,10.916414589918322
2025-04-12,16:00:00,10.547645915005514
2025-04-12,17:00:00,8.788066556688868
2025-04-12,18:00:00,7.283183849021832
2025-04-12,19:00:00,6.8575149724254185
2025-04-12,20:00:00,6.495646391955731
2025-04-12,21:00:00,6.224372982726232
2025-04-12,22:00:00,5.7464706107382195
2025-04-12,23:00:00,5.060972657131734
2025-04-13,00:00:00,4.399946682818715
2025-04-13,01:00:00,4.189083236424349
2025-04-13,02:00:00,4.48655345485692
2025-04-13,03:00:00,5.085219204691634
2025-04-13,04:00:00,5.789657352219221
2025-04-13,05:00:00,4.632814379842286
2025-04-13,06:00:00,5.351162992689719
2025-04-13,07:00:00,6.885901693691405
2025-04-13,08:00:00,8.372002312916704
2025-04-13,09:00:00,9.016119665668457
2025-04-13,10:00:00,9.153480025163612
2025-04-13,11:00:00,10.29291218371133
2025-04-13,12:00:00,9.99951805643574
2025-04-13,13:00:00,10.60633552300655
2025-04-13,14:00:00,10.47514645465749
2025-04-13,15:00:00,10.12883471520025
2025-04-13,16:00:00,9.64767626241288
2025-04-13,17:00:00,7.672748433668648
2025-04-13,18:00:00,6.997682591314271
2025-04-13,19:00:00,7.032148027123221
2025-04-13,20:00:00,6.696497671249148
2025-04-13,21:00:00,6.383978113206773
2025-04-13,22:00:00,6.422341154425047
2025-04-13,23:00:00,6.480331633026004
2025-04-14,00:00:00,6.302397654744874
2025-04-14,01:00:00,6.2113594904718665
2025-04-14,02:00:00,6.200304051379764
2025-04-14,03:00:00,6.286353222282364
2025-04-14,04:00:00,6.426483852464617
2025-04-14,05:00:00,5.830920095934731
2025-04-14,06:00:00,6.434185181519088
2025-04-14,07:00:00,6.325705600621889
2025-04-14,08:00:00,7.35450339132
2025-04-14,09:00:00,7.542121943227087
2025-04-14,10:00:00,7.506686470230852
2025-04-14,11:00:00,7.618720057799226
2025-04-14,12:00:00,7.511398150969752
2025-04-14,13:00:00,7.005401790255463
2025-04-14,14:00:00,6.42573302388519
2025-04-14,15:00:00,5.634542089267223
2025-04-14,16:00:00,4.396575606740407
2025-04-14,17:00:00,2.032666824548878
2025-04-14,18:00:00,2.2768273964517958
2025-04-14,19:00:00,1.8510294883603284
2025-04-14,20:00:00,1.4906028140619885
2025-04-14,21:00:00,2.518539135971475
2025-04-14,22:00:00,1.966675629847576
2025-04-14,23:00:00,1.687142251536137
