国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,门头沟区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,1.9580430916911151
2025-04-10,01:00:00,2.0069202066244753
2025-04-10,02:00:00,2.04363707081852
2025-04-10,03:00:00,2.0405780847334576
2025-04-10,04:00:00,2.016959145276681
2025-04-10,05:00:00,2.158765159597505
2025-04-10,06:00:00,2.0336570726323053
2025-04-10,07:00:00,1.5309808282126272
2025-04-10,08:00:00,0.9691216344848455
2025-04-10,09:00:00,0.8401947923761101
2025-04-10,10:00:00,1.3867396042994733
2025-04-10,11:00:00,1.7776925345493244
2025-04-10,12:00:00,2.082431190509393
2025-04-10,13:00:00,2.2457512731731177
2025-04-10,14:00:00,2.472449610621161
2025-04-10,15:00:00,2.784595835451899
2025-04-10,16:00:00,2.7017148173512853
2025-04-10,17:00:00,2.1689005258055363
2025-04-10,18:00:00,2.5925523110653605
2025-04-10,19:00:00,2.6219386030760123
2025-04-10,20:00:00,2.6862347472711057
2025-04-10,21:00:00,2.7197355626686432
2025-04-10,22:00:00,2.5953848986224775
2025-04-10,23:00:00,2.403818348692872
2025-04-11,00:00:00,2.400145430559295
2025-04-11,01:00:00,2.219800287428341
2025-04-11,02:00:00,2.022259809117247
2025-04-11,03:00:00,1.8729466471199705
2025-04-11,04:00:00,1.7994975711936532
2025-04-11,05:00:00,1.7497329886703796
2025-04-11,06:00:00,1.0209541595406662
2025-04-11,07:00:00,0.7789284140497694
2025-04-11,08:00:00,0.13343359264342283
2025-04-11,09:00:00,0.5061910663553477
2025-04-11,10:00:00,1.1124045260816424
2025-04-11,11:00:00,1.7778587548776281
2025-04-11,12:00:00,2.407391235551549
2025-04-11,13:00:00,2.9769946462294707
2025-04-11,14:00:00,3.445021611057493
2025-04-11,15:00:00,2.8540282288271426
2025-04-11,16:00:00,2.2402901948060023
2025-04-11,17:00:00,2.5254115987660675
2025-04-11,18:00:00,2.783331196395183
2025-04-11,19:00:00,3.1002426116902915
2025-04-11,20:00:00,4.360071508414641
2025-04-11,21:00:00,7.534733496773373
2025-04-11,22:00:00,7.9835092473895015
2025-04-11,23:00:00,7.256814032854085
2025-04-12,00:00:00,7.34437377038858
2025-04-12,01:00:00,6.928733263063304
2025-04-12,02:00:00,6.873696605810648
2025-04-12,03:00:00,7.016603263718798
2025-04-12,04:00:00,7.38958763831176
2025-04-12,05:00:00,6.727058972556592
2025-04-12,06:00:00,7.168304819106391
2025-04-12,07:00:00,8.621804503953276
2025-04-12,08:00:00,10.059082510478383
2025-04-12,09:00:00,10.40187329806178
2025-04-12,10:00:00,10.550869908804705
2025-04-12,11:00:00,10.269693723702707
2025-04-12,12:00:00,10.696031749009256
2025-04-12,13:00:00,10.296902755403606
2025-04-12,14:00:00,9.816063103158436
2025-04-12,15:00:00,9.320834180107815
2025-04-12,16:00:00,8.884995857678595
2025-04-12,17:00:00,6.879936779519562
2025-04-12,18:00:00,6.456872060426901
2025-04-12,19:00:00,6.412809673672596
2025-04-12,20:00:00,6.392116097685657
2025-04-12,21:00:00,6.24754447783219
2025-04-12,22:00:00,6.099823046135091
2025-04-12,23:00:00,6.011330538562389
2025-04-13,00:00:00,6.097076445516749
2025-04-13,01:00:00,6.074178646314131
2025-04-13,02:00:00,5.962996092690684
2025-04-13,03:00:00,5.954373095428661
2025-04-13,04:00:00,5.92682359631008
2025-04-13,05:00:00,4.242689853143505
2025-04-13,06:00:00,4.7163917253420795
2025-04-13,07:00:00,6.1025742989456875
2025-04-13,08:00:00,8.001226298850597
2025-04-13,09:00:00,8.428968614940382
2025-04-13,10:00:00,8.759252637979104
2025-04-13,11:00:00,8.821594089866784
2025-04-13,12:00:00,8.662553077239457
2025-04-13,13:00:00,8.676536534390745
2025-04-13,14:00:00,8.382726440233313
2025-04-13,15:00:00,7.685464498573547
2025-04-13,16:00:00,7.213666624821565
2025-04-13,17:00:00,6.280187677935011
2025-04-13,18:00:00,7.010127972465984
2025-04-13,19:00:00,7.162611314436309
2025-04-13,20:00:00,7.152781865053073
2025-04-13,21:00:00,7.266095573889005
2025-04-13,22:00:00,7.401684363388266
2025-04-13,23:00:00,7.467593178197345
2025-04-14,00:00:00,7.327182086227324
2025-04-14,01:00:00,7.119290829964476
2025-04-14,02:00:00,6.785984969636436
2025-04-14,03:00:00,6.432812716674061
2025-04-14,04:00:00,6.247499048808119
2025-04-14,05:00:00,6.4616169537410855
2025-04-14,06:00:00,6.811634243207897
2025-04-14,07:00:00,7.02149022966253
2025-04-14,08:00:00,7.407172455831899
2025-04-14,09:00:00,7.390663397585956
2025-04-14,10:00:00,7.328761463041191
2025-04-14,11:00:00,7.105190825780067
2025-04-14,12:00:00,6.708080213434209
2025-04-14,13:00:00,6.3055028011622625
2025-04-14,14:00:00,5.923581979454296
2025-04-14,15:00:00,5.423042288113965
2025-04-14,16:00:00,4.38405986908867
2025-04-14,17:00:00,2.5491237331530088
2025-04-14,18:00:00,2.2590659527043973
2025-04-14,19:00:00,2.4458641936697534
2025-04-14,20:00:00,2.5229732666100366
2025-04-14,21:00:00,2.8338667980878327
2025-04-14,22:00:00,3.099200645615441
2025-04-14,23:00:00,3.1899622177640397
