国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,顺义区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,0.9768305147538499
2025-04-10,01:00:00,1.2007914834695406
2025-04-10,02:00:00,1.3164530477242016
2025-04-10,03:00:00,1.3441767563203528
2025-04-10,04:00:00,1.2962216876712596
2025-04-10,05:00:00,1.4761723876408126
2025-04-10,06:00:00,1.3184864872594726
2025-04-10,07:00:00,0.540283614251039
2025-04-10,08:00:00,0.6220395023974257
2025-04-10,09:00:00,1.2488426291907888
2025-04-10,10:00:00,1.933791605953997
2025-04-10,11:00:00,3.032462972669387
2025-04-10,12:00:00,3.811327140570965
2025-04-10,13:00:00,4.242379250886024
2025-04-10,14:00:00,4.254686731023043
2025-04-10,15:00:00,4.316507926787628
2025-04-10,16:00:00,3.983418638776732
2025-04-10,17:00:00,3.319151996019507
2025-04-10,18:00:00,2.791316966142006
2025-04-10,19:00:00,3.0861630315736313
2025-04-10,20:00:00,2.7918700197405766
2025-04-10,21:00:00,2.6331903938997385
2025-04-10,22:00:00,2.300299901135387
2025-04-10,23:00:00,2.0343612768634327
2025-04-11,00:00:00,1.9886139145149375
2025-04-11,01:00:00,1.702342680095843
2025-04-11,02:00:00,1.410219125223508
2025-04-11,03:00:00,1.5540071110551854
2025-04-11,04:00:00,1.8785890260735592
2025-04-11,05:00:00,1.9176654618563942
2025-04-11,06:00:00,0.846111723194699
2025-04-11,07:00:00,1.08906624366058
2025-04-11,08:00:00,2.046627942829916
2025-04-11,09:00:00,2.159754015095354
2025-04-11,10:00:00,2.4796935450616697
2025-04-11,11:00:00,2.930439267432476
2025-04-11,12:00:00,3.2385960225945762
2025-04-11,13:00:00,3.6772176705407746
2025-04-11,14:00:00,4.454422291993089
2025-04-11,15:00:00,4.594016456158465
2025-04-11,16:00:00,2.940361442671102
2025-04-11,17:00:00,1.3782574120000572
2025-04-11,18:00:00,1.9253007875697044
2025-04-11,19:00:00,2.6503092287771506
2025-04-11,20:00:00,2.537275320780692
2025-04-11,21:00:00,3.280733500090292
2025-04-11,22:00:00,9.497438378793902
2025-04-11,23:00:00,7.390227182262966
2025-04-12,00:00:00,6.757140303289069
2025-04-12,01:00:00,5.747182942597683
2025-04-12,02:00:00,6.2295213934887865
2025-04-12,03:00:00,6.18264822840625
2025-04-12,04:00:00,6.327063316168346
2025-04-12,05:00:00,5.033804858692947
2025-04-12,06:00:00,5.061454481025648
2025-04-12,07:00:00,7.67668294614656
2025-04-12,08:00:00,9.039244410848609
2025-04-12,09:00:00,9.897838143154702
2025-04-12,10:00:00,10.257898017538135
2025-04-12,11:00:00,10.878376625191764
2025-04-12,12:00:00,10.880557787727883
2025-04-12,13:00:00,10.37394805812754
2025-04-12,14:00:00,10.16096524632804
2025-04-12,15:00:00,9.807478392663855
2025-04-12,16:00:00,9.25962037317885
2025-04-12,17:00:00,7.333802168949211
2025-04-12,18:00:00,5.880437622694713
2025-04-12,19:00:00,5.500327822209007
2025-04-12,20:00:00,5.242997321902156
2025-04-12,21:00:00,5.041444765663652
2025-04-12,22:00:00,4.668817201059207
2025-04-12,23:00:00,4.131399428144755
2025-04-13,00:00:00,3.612223885261062
2025-04-13,01:00:00,3.1663183607926246
2025-04-13,02:00:00,3.3454252934118087
2025-04-13,03:00:00,3.970197534494164
2025-04-13,04:00:00,4.4770820665349875
2025-04-13,05:00:00,3.239709299004733
2025-04-13,06:00:00,4.425559868326762
2025-04-13,07:00:00,5.210230476027793
2025-04-13,08:00:00,7.2181933928854365
2025-04-13,09:00:00,7.894386650304464
2025-04-13,10:00:00,8.393363694560199
2025-04-13,11:00:00,9.269373728288192
2025-04-13,12:00:00,8.955104241911133
2025-04-13,13:00:00,10.126260376340781
2025-04-13,14:00:00,9.28489728073212
2025-04-13,15:00:00,8.813455568520464
2025-04-13,16:00:00,8.455479714616393
2025-04-13,17:00:00,6.848436369580212
2025-04-13,18:00:00,6.582579934460727
2025-04-13,19:00:00,6.43339615852006
2025-04-13,20:00:00,6.068362733393146
2025-04-13,21:00:00,5.907679472212921
2025-04-13,22:00:00,5.967804921335957
2025-04-13,23:00:00,5.8767688156898545
2025-04-14,00:00:00,5.570099685864162
2025-04-14,01:00:00,5.616606724827122
2025-04-14,02:00:00,5.668673196188893
2025-04-14,03:00:00,5.724957155710234
2025-04-14,04:00:00,5.7163254957066005
2025-04-14,05:00:00,5.111692913012835
2025-04-14,06:00:00,5.743676284308251
2025-04-14,07:00:00,5.182536719340952
2025-04-14,08:00:00,6.517645155954536
2025-04-14,09:00:00,6.5834547579231995
2025-04-14,10:00:00,6.54469969072113
2025-04-14,11:00:00,6.554864791089281
2025-04-14,12:00:00,6.313328422374835
2025-04-14,13:00:00,5.843837142056831
2025-04-14,14:00:00,5.298029943747917
2025-04-14,15:00:00,4.683213632043131
2025-04-14,16:00:00,3.3384900875361727
2025-04-14,17:00:00,1.5200166570775395
2025-04-14,18:00:00,1.21238817713875
2025-04-14,19:00:00,0.359558680504322
2025-04-14,20:00:00,1.5392483610121452
2025-04-14,21:00:00,1.7185435033911622
2025-04-14,22:00:00,2.1632396076078235
2025-04-14,23:00:00,2.412218925680886
